5000 5000
999999999 1 166
999999999 1 167
999999999 1 168
999999999 1 169
999999999 1 170
999999999 1 171
999999999 1 172
999999999 1 173
999999999 1 174
999999999 1 175
999999999 1 176
999999999 1 177
999999999 1 178
999999999 1 179
999999999 1 180
999999999 1 181
999999999 1 182
999999999 1 183
999999999 1 184
999999999 1 185
999999999 1 186
999999999 1 187
999999999 1 188
999999999 1 189
999999999 1 190
999999999 1 191
999999999 1 192
999999999 1 193
999999999 1 194
999999999 1 195
999999999 1 196
999999999 1 197
999999999 1 198
999999999 1 199
999999999 1 200
999999999 1 201
999999999 1 202
999999999 1 203
999999999 1 204
999999999 1 205
999999999 1 206
999999999 1 207
999999999 1 208
999999999 1 209
999999999 1 210
999999999 1 211
999999999 1 212
999999999 1 213
999999999 1 214
999999999 1 215
999999999 1 216
999999999 1 217
999999999 1 218
999999999 1 219
999999999 1 220
999999999 1 221
999999999 1 222
999999999 1 223
999999999 1 224
999999999 1 225
999999999 1 226
999999999 1 227
999999999 1 228
999999999 1 229
999999999 1 230
999999999 1 231
999999999 1 232
999999999 1 233
999999999 1 234
999999999 1 235
999999999 1 236
999999999 1 237
999999999 1 238
999999999 1 239
999999999 1 240
999999999 1 241
999999999 1 242
999999999 1 243
999999999 1 244
999999999 1 245
999999999 1 246
999999999 1 247
999999999 1 248
999999999 1 249
999999999 1 250
999999999 1 251
999999999 1 252
999999999 1 253
999999999 1 254
999999999 1 255
999999999 1 256
999999999 1 257
999999999 1 258
999999999 1 259
999999999 1 260
999999999 1 261
999999999 1 262
999999999 1 263
999999999 1 264
999999999 1 265
999999999 1 266
999999999 1 267
999999999 1 268
999999999 1 269
999999999 1 270
999999999 1 271
999999999 1 272
999999999 1 273
999999999 1 274
999999999 1 275
999999999 1 276
999999999 1 277
999999999 1 278
999999999 1 279
999999999 1 280
999999999 1 281
999999999 1 282
999999999 1 283
999999999 1 284
999999999 1 285
999999999 1 286
999999999 1 287
999999999 1 288
999999999 1 289
999999999 1 290
999999999 1 291
999999999 1 292
999999999 1 293
999999999 1 294
999999999 1 295
999999999 1 296
999999999 1 297
999999999 1 298
999999999 1 299
999999999 1 300
999999999 1 301
999999999 1 302
999999999 1 303
999999999 1 304
999999999 1 305
999999999 1 306
999999999 1 307
999999999 1 308
999999999 1 309
999999999 1 310
999999999 1 311
999999999 1 312
999999999 1 313
999999999 1 314
999999999 1 315
999999999 1 316
999999999 1 317
999999999 1 318
999999999 1 319
999999999 1 320
999999999 1 321
999999999 1 322
999999999 1 323
999999999 1 324
999999999 1 325
999999999 1 326
999999999 1 327
999999999 1 328
999999999 1 329
999999999 1 330
999999999 1 331
999999999 1 332
999999999 1 333
999999999 1 334
999999999 1 335
999999999 1 336
999999999 1 337
999999999 1 338
999999999 1 339
999999999 1 340
999999999 1 341
999999999 1 342
999999999 1 343
999999999 1 344
999999999 1 345
999999999 1 346
999999999 1 347
999999999 1 348
999999999 1 349
999999999 1 350
999999999 1 351
999999999 1 352
999999999 1 353
999999999 1 354
999999999 1 355
999999999 1 356
999999999 1 357
999999999 1 358
999999999 1 359
999999999 1 360
999999999 1 361
999999999 1 362
999999999 1 363
999999999 1 364
999999999 1 365
999999999 1 366
999999999 1 367
999999999 1 368
999999999 1 369
999999999 1 370
999999999 1 371
999999999 1 372
999999999 1 373
999999999 1 374
999999999 1 375
999999999 1 376
999999999 1 377
999999999 1 378
999999999 1 379
999999999 1 380
999999999 1 381
999999999 1 382
999999999 1 383
999999999 1 384
999999999 1 385
999999999 1 386
999999999 1 387
999999999 1 388
999999999 1 389
999999999 1 390
999999999 1 391
999999999 1 392
999999999 1 393
999999999 1 394
999999999 1 395
999999999 1 396
999999999 1 397
999999999 1 398
999999999 1 399
999999999 1 400
999999999 1 401
999999999 1 402
999999999 1 403
999999999 1 404
999999999 1 405
999999999 1 406
999999999 1 407
999999999 1 408
999999999 1 409
999999999 1 410
999999999 1 411
999999999 1 412
999999999 1 413
999999999 1 414
999999999 1 415
999999999 1 416
999999999 1 417
999999999 1 418
999999999 1 419
999999999 1 420
999999999 1 421
999999999 1 422
999999999 1 423
999999999 1 424
999999999 1 425
999999999 1 426
999999999 1 427
999999999 1 428
999999999 1 429
999999999 1 430
999999999 1 431
999999999 1 432
999999999 1 433
999999999 1 434
999999999 1 435
999999999 1 436
999999999 1 437
999999999 1 438
999999999 1 439
999999999 1 440
999999999 1 441
999999999 1 442
999999999 1 443
999999999 1 444
999999999 1 445
999999999 1 446
999999999 1 447
999999999 1 448
999999999 1 449
999999999 1 450
999999999 1 451
999999999 1 452
999999999 1 453
999999999 1 454
999999999 1 455
999999999 1 456
999999999 1 457
999999999 1 458
999999999 1 459
999999999 1 460
999999999 1 461
999999999 1 462
999999999 1 463
999999999 1 464
999999999 1 465
999999999 1 466
999999999 1 467
999999999 1 468
999999999 1 469
999999999 1 470
999999999 1 471
999999999 1 472
999999999 1 473
999999999 1 474
999999999 1 475
999999999 1 476
999999999 1 477
999999999 1 478
999999999 1 479
999999999 1 480
999999999 1 481
999999999 1 482
999999999 1 483
999999999 1 484
999999999 1 485
999999999 1 486
999999999 1 487
999999999 1 488
999999999 1 489
999999999 1 490
999999999 1 491
999999999 1 492
999999999 1 493
999999999 1 494
999999999 1 495
999999999 1 496
999999999 1 497
999999999 1 498
999999999 1 499
999999999 1 500
999999999 1 501
999999999 1 502
999999999 1 503
999999999 1 504
999999999 1 505
999999999 1 506
999999999 1 507
999999999 1 508
999999999 1 509
999999999 1 510
999999999 1 511
999999999 1 512
999999999 1 513
999999999 1 514
999999999 1 515
999999999 1 516
999999999 1 517
999999999 1 518
999999999 1 519
999999999 1 520
999999999 1 521
999999999 1 522
999999999 1 523
999999999 1 524
999999999 1 525
999999999 1 526
999999999 1 527
999999999 1 528
999999999 1 529
999999999 1 530
999999999 1 531
999999999 1 532
999999999 1 533
999999999 1 534
999999999 1 535
999999999 1 536
999999999 1 537
999999999 1 538
999999999 1 539
999999999 1 540
999999999 1 541
999999999 1 542
999999999 1 543
999999999 1 544
999999999 1 545
999999999 1 546
999999999 1 547
999999999 1 548
999999999 1 549
999999999 1 550
999999999 1 551
999999999 1 552
999999999 1 553
999999999 1 554
999999999 1 555
999999999 1 556
999999999 1 557
999999999 1 558
999999999 1 559
999999999 1 560
999999999 1 561
999999999 1 562
999999999 1 563
999999999 1 564
999999999 1 565
999999999 1 566
999999999 1 567
999999999 1 568
999999999 1 569
999999999 1 570
999999999 1 571
999999999 1 572
999999999 1 573
999999999 1 574
999999999 1 575
999999999 1 576
999999999 1 577
999999999 1 578
999999999 1 579
999999999 1 580
999999999 1 581
999999999 1 582
999999999 1 583
999999999 1 584
999999999 1 585
999999999 1 586
999999999 1 587
999999999 1 588
999999999 1 589
999999999 1 590
999999999 1 591
999999999 1 592
999999999 1 593
999999999 1 594
999999999 1 595
999999999 1 596
999999999 1 597
999999999 1 598
999999999 1 599
999999999 1 600
999999999 1 601
999999999 1 602
999999999 1 603
999999999 1 604
999999999 1 605
999999999 1 606
999999999 1 607
999999999 1 608
999999999 1 609
999999999 1 610
999999999 1 611
999999999 1 612
999999999 1 613
999999999 1 614
999999999 1 615
999999999 1 616
999999999 1 617
999999999 1 618
999999999 1 619
999999999 1 620
999999999 1 621
999999999 1 622
999999999 1 623
999999999 1 624
999999999 1 625
999999999 1 626
999999999 1 627
999999999 1 628
999999999 1 629
999999999 1 630
999999999 1 631
999999999 1 632
999999999 1 633
999999999 1 634
999999999 1 635
999999999 1 636
999999999 1 637
999999999 1 638
999999999 1 639
999999999 1 640
999999999 1 641
999999999 1 642
999999999 1 643
999999999 1 644
999999999 1 645
999999999 1 646
999999999 1 647
999999999 1 648
999999999 1 649
999999999 1 650
999999999 1 651
999999999 1 652
999999999 1 653
999999999 1 654
999999999 1 655
999999999 1 656
999999999 1 657
999999999 1 658
999999999 1 659
999999999 1 660
999999999 1 661
999999999 1 662
999999999 1 663
999999999 1 664
999999999 1 665
999999999 1 666
999999999 1 667
999999999 1 668
999999999 1 669
999999999 1 670
999999999 1 671
999999999 1 672
999999999 1 673
999999999 1 674
999999999 1 675
999999999 1 676
999999999 1 677
999999999 1 678
999999999 1 679
999999999 1 680
999999999 1 681
999999999 1 682
999999999 1 683
999999999 1 684
999999999 1 685
999999999 1 686
999999999 1 687
999999999 1 688
999999999 1 689
999999999 1 690
999999999 1 691
999999999 1 692
999999999 1 693
999999999 1 694
999999999 1 695
999999999 1 696
999999999 1 697
999999999 1 698
999999999 1 699
999999999 1 700
999999999 1 701
999999999 1 702
999999999 1 703
999999999 1 704
999999999 1 705
999999999 1 706
999999999 1 707
999999999 1 708
999999999 1 709
999999999 1 710
999999999 1 711
999999999 1 712
999999999 1 713
999999999 1 714
999999999 1 715
999999999 1 716
999999999 1 717
999999999 1 718
999999999 1 719
999999999 1 720
999999999 1 721
999999999 1 722
999999999 1 723
999999999 1 724
999999999 1 725
999999999 1 726
999999999 1 727
999999999 1 728
999999999 1 729
999999999 1 730
999999999 1 731
999999999 1 732
999999999 1 733
999999999 1 734
999999999 1 735
999999999 1 736
999999999 1 737
999999999 1 738
999999999 1 739
999999999 1 740
999999999 1 741
999999999 1 742
999999999 1 743
999999999 1 744
999999999 1 745
999999999 1 746
999999999 1 747
999999999 1 748
999999999 1 749
999999999 1 750
999999999 1 751
999999999 1 752
999999999 1 753
999999999 1 754
999999999 1 755
999999999 1 756
999999999 1 757
999999999 1 758
999999999 1 759
999999999 1 760
999999999 1 761
999999999 1 762
999999999 1 763
999999999 1 764
999999999 1 765
999999999 1 766
999999999 1 767
999999999 1 768
999999999 1 769
999999999 1 770
999999999 1 771
999999999 1 772
999999999 1 773
999999999 1 774
999999999 1 775
999999999 1 776
999999999 1 777
999999999 1 778
999999999 1 779
999999999 1 780
999999999 1 781
999999999 1 782
999999999 1 783
999999999 1 784
999999999 1 785
999999999 1 786
999999999 1 787
999999999 1 788
999999999 1 789
999999999 1 790
999999999 1 791
999999999 1 792
999999999 1 793
999999999 1 794
999999999 1 795
999999999 1 796
999999999 1 797
999999999 1 798
999999999 1 799
999999999 1 800
999999999 1 801
999999999 1 802
999999999 1 803
999999999 1 804
999999999 1 805
999999999 1 806
999999999 1 807
999999999 1 808
999999999 1 809
999999999 1 810
999999999 1 811
999999999 1 812
999999999 1 813
999999999 1 814
999999999 1 815
999999999 1 816
999999999 1 817
999999999 1 818
999999999 1 819
999999999 1 820
999999999 1 821
999999999 1 822
999999999 1 823
999999999 1 824
999999999 1 825
999999999 1 826
999999999 1 827
999999999 1 828
999999999 1 829
999999999 1 830
999999999 1 831
999999999 1 832
999999999 1 833
999999999 1 834
999999999 1 835
999999999 1 836
999999999 1 837
999999999 1 838
999999999 1 839
999999999 1 840
999999999 1 841
999999999 1 842
999999999 1 843
999999999 1 844
999999999 1 845
999999999 1 846
999999999 1 847
999999999 1 848
999999999 1 849
999999999 1 850
999999999 1 851
999999999 1 852
999999999 1 853
999999999 1 854
999999999 1 855
999999999 1 856
999999999 1 857
999999999 1 858
999999999 1 859
999999999 1 860
999999999 1 861
999999999 1 862
999999999 1 863
999999999 1 864
999999999 1 865
999999999 1 866
999999999 1 867
999999999 1 868
999999999 1 869
999999999 1 870
999999999 1 871
999999999 1 872
999999999 1 873
999999999 1 874
999999999 1 875
999999999 1 876
999999999 1 877
999999999 1 878
999999999 1 879
999999999 1 880
999999999 1 881
999999999 1 882
999999999 1 883
999999999 1 884
999999999 1 885
999999999 1 886
999999999 1 887
999999999 1 888
999999999 1 889
999999999 1 890
999999999 1 891
999999999 1 892
999999999 1 893
999999999 1 894
999999999 1 895
999999999 1 896
999999999 1 897
999999999 1 898
999999999 1 899
999999999 1 900
999999999 1 901
999999999 1 902
999999999 1 903
999999999 1 904
999999999 1 905
999999999 1 906
999999999 1 907
999999999 1 908
999999999 1 909
999999999 1 910
999999999 1 911
999999999 1 912
999999999 1 913
999999999 1 914
999999999 1 915
999999999 1 916
999999999 1 917
999999999 1 918
999999999 1 919
999999999 1 920
999999999 1 921
999999999 1 922
999999999 1 923
999999999 1 924
999999999 1 925
999999999 1 926
999999999 1 927
999999999 1 928
999999999 1 929
999999999 1 930
999999999 1 931
999999999 1 932
999999999 1 933
999999999 1 934
999999999 1 935
999999999 1 936
999999999 1 937
999999999 1 938
999999999 1 939
999999999 1 940
999999999 1 941
999999999 1 942
999999999 1 943
999999999 1 944
999999999 1 945
999999999 1 946
999999999 1 947
999999999 1 948
999999999 1 949
999999999 1 950
999999999 1 951
999999999 1 952
999999999 1 953
999999999 1 954
999999999 1 955
999999999 1 956
999999999 1 957
999999999 1 958
999999999 1 959
999999999 1 960
999999999 1 961
999999999 1 962
999999999 1 963
999999999 1 964
999999999 1 965
999999999 1 966
999999999 1 967
999999999 1 968
999999999 1 969
999999999 1 970
999999999 1 971
999999999 1 972
999999999 1 973
999999999 1 974
999999999 1 975
999999999 1 976
999999999 1 977
999999999 1 978
999999999 1 979
999999999 1 980
999999999 1 981
999999999 1 982
999999999 1 983
999999999 1 984
999999999 1 985
999999999 1 986
999999999 1 987
999999999 1 988
999999999 1 989
999999999 1 990
999999999 1 991
999999999 1 992
999999999 1 993
999999999 1 994
999999999 1 995
999999999 1 996
999999999 1 997
999999999 1 998
999999999 1 999
999999999 1 1000
999999999 1 1001
999999999 1 1002
999999999 1 1003
999999999 1 1004
999999999 1 1005
999999999 1 1006
999999999 1 1007
999999999 1 1008
999999999 1 1009
999999999 1 1010
999999999 1 1011
999999999 1 1012
999999999 1 1013
999999999 1 1014
999999999 1 1015
999999999 1 1016
999999999 1 1017
999999999 1 1018
999999999 1 1019
999999999 1 1020
999999999 1 1021
999999999 1 1022
999999999 1 1023
999999999 1 1024
999999999 1 1025
999999999 1 1026
999999999 1 1027
999999999 1 1028
999999999 1 1029
999999999 1 1030
999999999 1 1031
999999999 1 1032
999999999 1 1033
999999999 1 1034
999999999 1 1035
999999999 1 1036
999999999 1 1037
999999999 1 1038
999999999 1 1039
999999999 1 1040
999999999 1 1041
999999999 1 1042
999999999 1 1043
999999999 1 1044
999999999 1 1045
999999999 1 1046
999999999 1 1047
999999999 1 1048
999999999 1 1049
999999999 1 1050
999999999 1 1051
999999999 1 1052
999999999 1 1053
999999999 1 1054
999999999 1 1055
999999999 1 1056
999999999 1 1057
999999999 1 1058
999999999 1 1059
999999999 1 1060
999999999 1 1061
999999999 1 1062
999999999 1 1063
999999999 1 1064
999999999 1 1065
999999999 1 1066
999999999 1 1067
999999999 1 1068
999999999 1 1069
999999999 1 1070
999999999 1 1071
999999999 1 1072
999999999 1 1073
999999999 1 1074
999999999 1 1075
999999999 1 1076
999999999 1 1077
999999999 1 1078
999999999 1 1079
999999999 1 1080
999999999 1 1081
999999999 1 1082
999999999 1 1083
999999999 1 1084
999999999 1 1085
999999999 1 1086
999999999 1 1087
999999999 1 1088
999999999 1 1089
999999999 1 1090
999999999 1 1091
999999999 1 1092
999999999 1 1093
999999999 1 1094
999999999 1 1095
999999999 1 1096
999999999 1 1097
999999999 1 1098
999999999 1 1099
999999999 1 1100
999999999 1 1101
999999999 1 1102
999999999 1 1103
999999999 1 1104
999999999 1 1105
999999999 1 1106
999999999 1 1107
999999999 1 1108
999999999 1 1109
999999999 1 1110
999999999 1 1111
999999999 1 1112
999999999 1 1113
999999999 1 1114
999999999 1 1115
999999999 1 1116
999999999 1 1117
999999999 1 1118
999999999 1 1119
999999999 1 1120
999999999 1 1121
999999999 1 1122
999999999 1 1123
999999999 1 1124
999999999 1 1125
999999999 1 1126
999999999 1 1127
999999999 1 1128
999999999 1 1129
999999999 1 1130
999999999 1 1131
999999999 1 1132
999999999 1 1133
999999999 1 1134
999999999 1 1135
999999999 1 1136
999999999 1 1137
999999999 1 1138
999999999 1 1139
999999999 1 1140
999999999 1 1141
999999999 1 1142
999999999 1 1143
999999999 1 1144
999999999 1 1145
999999999 1 1146
999999999 1 1147
999999999 1 1148
999999999 1 1149
999999999 1 1150
999999999 1 1151
999999999 1 1152
999999999 1 1153
999999999 1 1154
999999999 1 1155
999999999 1 1156
999999999 1 1157
999999999 1 1158
999999999 1 1159
999999999 1 1160
999999999 1 1161
999999999 1 1162
999999999 1 1163
999999999 1 1164
999999999 1 1165
999999999 1 1166
999999999 1 1167
999999999 1 1168
999999999 1 1169
999999999 1 1170
999999999 1 1171
999999999 1 1172
999999999 1 1173
999999999 1 1174
999999999 1 1175
999999999 1 1176
999999999 1 1177
999999999 1 1178
999999999 1 1179
999999999 1 1180
999999999 1 1181
999999999 1 1182
999999999 1 1183
999999999 1 1184
999999999 1 1185
999999999 1 1186
999999999 1 1187
999999999 1 1188
999999999 1 1189
999999999 1 1190
999999999 1 1191
999999999 1 1192
999999999 1 1193
999999999 1 1194
999999999 1 1195
999999999 1 1196
999999999 1 1197
999999999 1 1198
999999999 1 1199
999999999 1 1200
999999999 1 1201
999999999 1 1202
999999999 1 1203
999999999 1 1204
999999999 1 1205
999999999 1 1206
999999999 1 1207
999999999 1 1208
999999999 1 1209
999999999 1 1210
999999999 1 1211
999999999 1 1212
999999999 1 1213
999999999 1 1214
999999999 1 1215
999999999 1 1216
999999999 1 1217
999999999 1 1218
999999999 1 1219
999999999 1 1220
999999999 1 1221
999999999 1 1222
999999999 1 1223
999999999 1 1224
999999999 1 1225
999999999 1 1226
999999999 1 1227
999999999 1 1228
999999999 1 1229
999999999 1 1230
999999999 1 1231
999999999 1 1232
999999999 1 1233
999999999 1 1234
999999999 1 1235
999999999 1 1236
999999999 1 1237
999999999 1 1238
999999999 1 1239
999999999 1 1240
999999999 1 1241
999999999 1 1242
999999999 1 1243
999999999 1 1244
999999999 1 1245
999999999 1 1246
999999999 1 1247
999999999 1 1248
999999999 1 1249
999999999 1 1250
999999999 1 1251
999999999 1 1252
999999999 1 1253
999999999 1 1254
999999999 1 1255
999999999 1 1256
999999999 1 1257
999999999 1 1258
999999999 1 1259
999999999 1 1260
999999999 1 1261
999999999 1 1262
999999999 1 1263
999999999 1 1264
999999999 1 1265
999999999 1 1266
999999999 1 1267
999999999 1 1268
999999999 1 1269
999999999 1 1270
999999999 1 1271
999999999 1 1272
999999999 1 1273
999999999 1 1274
999999999 1 1275
999999999 1 1276
999999999 1 1277
999999999 1 1278
999999999 1 1279
999999999 1 1280
999999999 1 1281
999999999 1 1282
999999999 1 1283
999999999 1 1284
999999999 1 1285
999999999 1 1286
999999999 1 1287
999999999 1 1288
999999999 1 1289
999999999 1 1290
999999999 1 1291
999999999 1 1292
999999999 1 1293
999999999 1 1294
999999999 1 1295
999999999 1 1296
999999999 1 1297
999999999 1 1298
999999999 1 1299
999999999 1 1300
999999999 1 1301
999999999 1 1302
999999999 1 1303
999999999 1 1304
999999999 1 1305
999999999 1 1306
999999999 1 1307
999999999 1 1308
999999999 1 1309
999999999 1 1310
999999999 1 1311
999999999 1 1312
999999999 1 1313
999999999 1 1314
999999999 1 1315
999999999 1 1316
999999999 1 1317
999999999 1 1318
999999999 1 1319
999999999 1 1320
999999999 1 1321
999999999 1 1322
999999999 1 1323
999999999 1 1324
999999999 1 1325
999999999 1 1326
999999999 1 1327
999999999 1 1328
999999999 1 1329
999999999 1 1330
999999999 1 1331
999999999 1 1332
999999999 1 1333
999999999 1 1334
999999999 1 1335
999999999 1 1336
999999999 1 1337
999999999 1 1338
999999999 1 1339
999999999 1 1340
999999999 1 1341
999999999 1 1342
999999999 1 1343
999999999 1 1344
999999999 1 1345
999999999 1 1346
999999999 1 1347
999999999 1 1348
999999999 1 1349
999999999 1 1350
999999999 1 1351
999999999 1 1352
999999999 1 1353
999999999 1 1354
999999999 1 1355
999999999 1 1356
999999999 1 1357
999999999 1 1358
999999999 1 1359
999999999 1 1360
999999999 1 1361
999999999 1 1362
999999999 1 1363
999999999 1 1364
999999999 1 1365
999999999 1 1366
999999999 1 1367
999999999 1 1368
999999999 1 1369
999999999 1 1370
999999999 1 1371
999999999 1 1372
999999999 1 1373
999999999 1 1374
999999999 1 1375
999999999 1 1376
999999999 1 1377
999999999 1 1378
999999999 1 1379
999999999 1 1380
999999999 1 1381
999999999 1 1382
999999999 1 1383
999999999 1 1384
999999999 1 1385
999999999 1 1386
999999999 1 1387
999999999 1 1388
999999999 1 1389
999999999 1 1390
999999999 1 1391
999999999 1 1392
999999999 1 1393
999999999 1 1394
999999999 1 1395
999999999 1 1396
999999999 1 1397
999999999 1 1398
999999999 1 1399
999999999 1 1400
999999999 1 1401
999999999 1 1402
999999999 1 1403
999999999 1 1404
999999999 1 1405
999999999 1 1406
999999999 1 1407
999999999 1 1408
999999999 1 1409
999999999 1 1410
999999999 1 1411
999999999 1 1412
999999999 1 1413
999999999 1 1414
999999999 1 1415
999999999 1 1416
999999999 1 1417
999999999 1 1418
999999999 1 1419
999999999 1 1420
999999999 1 1421
999999999 1 1422
999999999 1 1423
999999999 1 1424
999999999 1 1425
999999999 1 1426
999999999 1 1427
999999999 1 1428
999999999 1 1429
999999999 1 1430
999999999 1 1431
999999999 1 1432
999999999 1 1433
999999999 1 1434
999999999 1 1435
999999999 1 1436
999999999 1 1437
999999999 1 1438
999999999 1 1439
999999999 1 1440
999999999 1 1441
999999999 1 1442
999999999 1 1443
999999999 1 1444
999999999 1 1445
999999999 1 1446
999999999 1 1447
999999999 1 1448
999999999 1 1449
999999999 1 1450
999999999 1 1451
999999999 1 1452
999999999 1 1453
999999999 1 1454
999999999 1 1455
999999999 1 1456
999999999 1 1457
999999999 1 1458
999999999 1 1459
999999999 1 1460
999999999 1 1461
999999999 1 1462
999999999 1 1463
999999999 1 1464
999999999 1 1465
999999999 1 1466
999999999 1 1467
999999999 1 1468
999999999 1 1469
999999999 1 1470
999999999 1 1471
999999999 1 1472
999999999 1 1473
999999999 1 1474
999999999 1 1475
999999999 1 1476
999999999 1 1477
999999999 1 1478
999999999 1 1479
999999999 1 1480
999999999 1 1481
999999999 1 1482
999999999 1 1483
999999999 1 1484
999999999 1 1485
999999999 1 1486
999999999 1 1487
999999999 1 1488
999999999 1 1489
999999999 1 1490
999999999 1 1491
999999999 1 1492
999999999 1 1493
999999999 1 1494
999999999 1 1495
999999999 1 1496
999999999 1 1497
999999999 1 1498
999999999 1 1499
999999999 1 1500
999999999 1 1501
999999999 1 1502
999999999 1 1503
999999999 1 1504
999999999 1 1505
999999999 1 1506
999999999 1 1507
999999999 1 1508
999999999 1 1509
999999999 1 1510
999999999 1 1511
999999999 1 1512
999999999 1 1513
999999999 1 1514
999999999 1 1515
999999999 1 1516
999999999 1 1517
999999999 1 1518
999999999 1 1519
999999999 1 1520
999999999 1 1521
999999999 1 1522
999999999 1 1523
999999999 1 1524
999999999 1 1525
999999999 1 1526
999999999 1 1527
999999999 1 1528
999999999 1 1529
999999999 1 1530
999999999 1 1531
999999999 1 1532
999999999 1 1533
999999999 1 1534
999999999 1 1535
999999999 1 1536
999999999 1 1537
999999999 1 1538
999999999 1 1539
999999999 1 1540
999999999 1 1541
999999999 1 1542
999999999 1 1543
999999999 1 1544
999999999 1 1545
999999999 1 1546
999999999 1 1547
999999999 1 1548
999999999 1 1549
999999999 1 1550
999999999 1 1551
999999999 1 1552
999999999 1 1553
999999999 1 1554
999999999 1 1555
999999999 1 1556
999999999 1 1557
999999999 1 1558
999999999 1 1559
999999999 1 1560
999999999 1 1561
999999999 1 1562
999999999 1 1563
999999999 1 1564
999999999 1 1565
999999999 1 1566
999999999 1 1567
999999999 1 1568
999999999 1 1569
999999999 1 1570
999999999 1 1571
999999999 1 1572
999999999 1 1573
999999999 1 1574
999999999 1 1575
999999999 1 1576
999999999 1 1577
999999999 1 1578
999999999 1 1579
999999999 1 1580
999999999 1 1581
999999999 1 1582
999999999 1 1583
999999999 1 1584
999999999 1 1585
999999999 1 1586
999999999 1 1587
999999999 1 1588
999999999 1 1589
999999999 1 1590
999999999 1 1591
999999999 1 1592
999999999 1 1593
999999999 1 1594
999999999 1 1595
999999999 1 1596
999999999 1 1597
999999999 1 1598
999999999 1 1599
999999999 1 1600
999999999 1 1601
999999999 1 1602
999999999 1 1603
999999999 1 1604
999999999 1 1605
999999999 1 1606
999999999 1 1607
999999999 1 1608
999999999 1 1609
999999999 1 1610
999999999 1 1611
999999999 1 1612
999999999 1 1613
999999999 1 1614
999999999 1 1615
999999999 1 1616
999999999 1 1617
999999999 1 1618
999999999 1 1619
999999999 1 1620
999999999 1 1621
999999999 1 1622
999999999 1 1623
999999999 1 1624
999999999 1 1625
999999999 1 1626
999999999 1 1627
999999999 1 1628
999999999 1 1629
999999999 1 1630
999999999 1 1631
999999999 1 1632
999999999 1 1633
999999999 1 1634
999999999 1 1635
999999999 1 1636
999999999 1 1637
999999999 1 1638
999999999 1 1639
999999999 1 1640
999999999 1 1641
999999999 1 1642
999999999 1 1643
999999999 1 1644
999999999 1 1645
999999999 1 1646
999999999 1 1647
999999999 1 1648
999999999 1 1649
999999999 1 1650
999999999 1 1651
999999999 1 1652
999999999 1 1653
999999999 1 1654
999999999 1 1655
999999999 1 1656
999999999 1 1657
999999999 1 1658
999999999 1 1659
999999999 1 1660
999999999 1 1661
999999999 1 1662
999999999 1 1663
999999999 1 1664
999999999 1 1665
